Week,how to apply for ei: (Canada),uber eats: (Canada),skip the dishes: (Canada),doordash: (Canada),uber: (Canada)
2016-04-24,1,1,5,1,59
2016-05-01,<1,1,4,1,64
2016-05-08,1,3,4,<1,51
2016-05-15,<1,2,5,<1,46
2016-05-22,1,2,7,<1,46
2016-05-29,<1,2,5,<1,44
2016-06-05,<1,2,4,<1,46
2016-06-12,<1,2,5,<1,41
2016-06-19,1,3,5,1,41
2016-06-26,1,1,5,0,43
2016-07-03,1,2,5,<1,44
2016-07-10,1,2,5,<1,45
2016-07-17,<1,3,5,1,42
2016-07-24,1,2,5,1,45
2016-07-31,1,3,5,1,45
2016-08-07,1,2,5,1,39
2016-08-14,<1,3,7,<1,46
2016-08-21,<1,2,5,1,45
2016-08-28,<1,1,6,<1,43
2016-09-04,<1,2,6,1,55
2016-09-11,<1,2,6,1,43
2016-09-18,1,3,6,1,44
2016-09-25,<1,2,6,1,47
2016-10-02,<1,2,6,<1,43
2016-10-09,<1,3,6,1,40
2016-10-16,<1,3,8,1,47
2016-10-23,<1,5,5,<1,44
2016-10-30,1,4,6,<1,50
2016-11-06,0,3,5,1,36
2016-11-13,1,2,5,1,39
2016-11-20,1,2,8,1,37
2016-11-27,<1,3,7,1,48
2016-12-04,<1,2,9,2,46
2016-12-11,<1,4,10,1,54
2016-12-18,1,2,10,1,54
2016-12-25,0,2,8,1,50
2017-01-01,0,3,11,1,46
2017-01-08,1,3,9,<1,43
2017-01-15,<1,2,8,1,41
2017-01-22,<1,3,9,1,47
2017-01-29,1,2,12,1,66
2017-02-05,0,4,13,1,45
2017-02-12,1,2,12,1,44
2017-02-19,<1,3,8,1,47
2017-02-26,1,3,10,1,52
2017-03-05,<1,3,11,1,52
2017-03-12,1,3,13,1,51
2017-03-19,<1,3,13,1,48
2017-03-26,<1,2,12,1,44
2017-04-02,1,2,14,1,42
2017-04-09,<1,3,13,2,40
2017-04-16,1,4,14,1,44
2017-04-23,<1,2,18,1,43
2017-04-30,1,3,15,1,43
2017-05-07,1,4,12,1,47
2017-05-14,<1,2,13,1,41
2017-05-21,1,4,15,1,43
2017-05-28,0,3,14,2,48
2017-06-04,<1,3,17,1,43
2017-06-11,<1,3,16,<1,49
2017-06-18,1,3,18,2,47
2017-06-25,<1,4,18,2,52
2017-07-02,<1,5,18,1,51
2017-07-09,1,6,18,1,57
2017-07-16,1,6,21,1,49
2017-07-23,1,6,21,2,44
2017-07-30,1,5,22,1,49
2017-08-06,<1,5,23,<1,54
2017-08-13,<1,5,23,3,47
2017-08-20,1,4,23,2,56
2017-08-27,<1,2,21,1,50
2017-09-03,1,5,24,1,46
2017-09-10,<1,7,23,1,49
2017-09-17,<1,4,22,1,47
2017-09-24,1,5,24,1,61
2017-10-01,<1,5,27,2,46
2017-10-08,<1,5,28,2,50
2017-10-15,1,5,31,2,47
2017-10-22,1,6,26,2,52
2017-10-29,<1,5,27,1,46
2017-11-05,<1,5,31,2,47
2017-11-12,1,5,30,3,51
2017-11-19,1,6,27,2,52
2017-11-26,1,5,28,3,43
2017-12-03,<1,6,23,2,46
2017-12-10,1,6,32,2,56
2017-12-17,0,6,32,2,48
2017-12-24,1,6,32,1,48
2017-12-31,1,6,35,2,57
2018-01-07,1,8,35,2,53
2018-01-14,1,5,34,2,50
2018-01-21,<1,7,32,2,42
2018-01-28,1,9,38,2,51
2018-02-04,<1,8,33,2,52
2018-02-11,<1,7,34,2,47
2018-02-18,<1,7,37,2,44
2018-02-25,1,10,38,3,53
2018-03-04,<1,7,39,2,48
2018-03-11,<1,9,36,2,45
2018-03-18,0,7,36,4,64
2018-03-25,1,7,41,4,49
2018-04-01,1,11,41,4,49
2018-04-08,1,8,40,2,44
2018-04-15,1,10,48,3,45
2018-04-22,<1,10,36,3,49
2018-04-29,<1,11,34,3,52
2018-05-06,1,8,35,3,46
2018-05-13,1,7,35,3,45
2018-05-20,<1,10,36,2,52
2018-05-27,1,10,40,2,52
2018-06-03,1,10,36,3,47
2018-06-10,<1,8,37,3,54
2018-06-17,1,12,38,4,54
2018-06-24,<1,11,44,4,54
2018-07-01,1,13,42,3,54
2018-07-08,1,11,39,4,56
2018-07-15,1,14,44,4,56
2018-07-22,<1,13,42,4,55
2018-07-29,1,13,44,4,57
2018-08-05,1,12,42,5,63
2018-08-12,<1,13,40,4,58
2018-08-19,<1,14,46,4,58
2018-08-26,1,16,45,3,60
2018-09-02,1,16,44,2,57
2018-09-09,1,18,40,4,66
2018-09-16,<1,15,48,3,67
2018-09-23,0,17,46,4,56
2018-09-30,1,12,43,3,57
2018-10-07,<1,15,44,3,54
2018-10-14,1,13,48,4,57
2018-10-21,1,16,50,4,60
2018-10-28,<1,18,50,5,60
2018-11-04,1,15,48,5,77
2018-11-11,1,18,53,4,61
2018-11-18,<1,17,52,4,66
2018-11-25,<1,15,49,4,59
2018-12-02,<1,14,56,5,64
2018-12-09,1,16,53,4,69
2018-12-16,1,15,57,5,56
2018-12-23,0,15,52,4,57
2018-12-30,<1,15,55,5,63
2019-01-06,1,16,48,5,61
2019-01-13,<1,14,47,5,61
2019-01-20,1,16,48,5,61
2019-01-27,<1,16,54,7,66
2019-02-03,<1,17,53,8,64
2019-02-10,1,15,57,6,60
2019-02-17,<1,16,55,5,65
2019-02-24,1,16,55,6,60
2019-03-03,1,12,46,5,53
2019-03-10,<1,12,48,5,55
2019-03-17,<1,15,48,6,54
2019-03-24,1,11,44,7,59
2019-03-31,1,14,44,5,62
2019-04-07,<1,14,42,6,56
2019-04-14,<1,16,49,5,58
2019-04-21,<1,14,45,5,60
2019-04-28,<1,14,41,7,66
2019-05-05,1,13,42,7,100
2019-05-12,<1,13,42,10,88
