Week,How to apply for EI: (Canada),How to get tested for Coronavirus: (Canada),Easy Cookie Recipes - Comparison,Buttermilk Recipes - Comparison,Butternut squash recipes - Comparison
2020-03-01,1,1,2,1,2
2020-03-08,4,13,0,1,2
2020-03-15,91,11,4,2,0
2020-03-22,100,3,3,2,3
2020-03-29,47,3,4,3,2
2020-04-05,33,1,4,5,3
2020-04-12,20,<1,1,3,4
2020-04-19,11,1,4,5,3
2020-04-26,6,1,3,4,2
2020-05-03,8,<1,4,4,3
2020-05-10,6,0,1,4,2
2020-05-17,2,<1,1,2,2
2020-05-24,4,1,2,3,2
2020-05-31,6,<1,1,3,2
2020-06-07,4,1,1,1,1
2020-06-14,5,<1,1,2,1
2020-06-21,2,<1,0,1,1
2020-06-28,3,1,1,4,1
2020-07-05,4,1,1,2,2
2020-07-12,2,0,<1,2,2
2020-07-19,2,1,1,2,2
2020-07-26,3,0,1,1,1
2020-08-02,3,0,<1,1,<1
2020-08-09,2,<1,1,1,1
2020-08-16,3,0,1,2,1
2020-08-23,3,<1,<1,3,1
2020-08-30,3,<1,1,2,3
2020-09-06,5,<1,2,3,3
2020-09-13,5,0,<1,2,7
2020-09-20,6,1,1,2,5
2020-09-27,14,1,1,2,3
2020-10-04,7,0,<1,2,7
2020-10-11,8,0,1,2,10
2020-10-18,5,0,2,1,6
2020-10-25,6,0,<1,1,6
2020-11-01,3,0,1,2,8
2020-11-08,4,0,2,2,2
2020-11-15,5,0,2,2,5
2020-11-22,3,0,3,1,4
2020-11-29,5,<1,3,2,7
2020-12-06,4,<1,2,2,5
2020-12-13,6,0,5,2,2
2020-12-20,5,0,3,3,6
2020-12-27,5,0,3,2,4
2021-01-03,7,0,<1,1,2
2021-01-10,5,0,2,2,3
2021-01-17,5,<1,<1,1,1
2021-01-24,3,0,1,1,1
2021-01-31,4,<1,2,2,4
2021-02-07,3,0,4,3,4
2021-02-14,3,0,2,2,2
2021-02-21,4,0,2,2,2
2021-02-28,4,0,1,4,3
2021-03-07,2,0,1,1,1
2021-03-14,2,<1,2,<1,1
2021-03-21,3,0,1,1,2
2021-03-28,2,0,<1,1,1
2021-04-04,3,0,1,1,2
2021-04-11,7,0,1,1,2
