Week,Sourdough discard recipes - Comparison,Scalloped potatoes recipes - Comparison,Bread recipes - Comparison,Coleslaw recipes - Comparison
2020-03-01,0,0,16,1
2020-03-08,0,1,12,<1
2020-03-15,0,<1,25,0
2020-03-22,1,1,38,1
2020-03-29,1,5,41,2
2020-04-05,1,4,43,3
2020-04-12,3,1,37,1
2020-04-19,4,1,40,3
2020-04-26,3,1,32,1
2020-05-03,3,1,33,<1
2020-05-10,2,1,22,1
2020-05-17,3,1,22,2
2020-05-24,2,<1,14,<1
2020-05-31,2,<1,17,<1
2020-06-07,1,<1,20,1
2020-06-14,2,1,12,<1
2020-06-21,1,0,12,2
2020-06-28,2,<1,10,2
2020-07-05,<1,0,12,1
2020-07-12,1,0,9,2
2020-07-19,<1,<1,11,0
2020-07-26,1,0,12,1
2020-08-02,1,<1,16,1
2020-08-09,0,0,13,1
2020-08-16,1,<1,10,2
2020-08-23,<1,2,11,0
2020-08-30,0,0,12,1
2020-09-06,0,0,13,2
2020-09-13,1,<1,10,0
2020-09-20,0,1,13,1
2020-09-27,0,1,9,1
2020-10-04,0,2,15,2
2020-10-11,<1,0,12,<1
2020-10-18,0,0,17,0
2020-10-25,<1,0,8,1
2020-11-01,0,<1,10,1
2020-11-08,0,<1,12,1
2020-11-15,<1,<1,17,1
2020-11-22,1,2,13,1
2020-11-29,1,0,15,0
2020-12-06,<1,<1,10,<1
2020-12-13,<1,2,13,<1
2020-12-20,<1,1,24,1
2020-12-27,0,1,21,1
2021-01-03,0,1,17,1
2021-01-10,1,0,17,1
2021-01-17,1,2,16,2
2021-01-24,0,2,15,1
2021-01-31,0,1,17,1
2021-02-07,<1,1,15,1
2021-02-14,1,1,19,1
2021-02-21,1,0,14,1
2021-02-28,1,1,12,<1
2021-03-07,<1,<1,11,<1
2021-03-14,<1,<1,11,<1
2021-03-21,0,0,13,<1
2021-03-28,1,2,13,1
2021-04-04,1,1,8,1
2021-04-11,1,0,11,1
