Week,Crockpot recipes - Comparison,Breakfast recipes - Comparison,Air fryer recipes - Comparison
2020-03-01,3,7,4
2020-03-08,3,4,4
2020-03-15,4,2,1
2020-03-22,3,7,3
2020-03-29,4,8,2
2020-04-05,1,11,3
2020-04-12,3,8,6
2020-04-19,2,11,5
2020-04-26,3,10,5
2020-05-03,2,14,6
2020-05-10,2,8,4
2020-05-17,1,8,6
2020-05-24,3,8,4
2020-05-31,3,7,4
2020-06-07,2,7,3
2020-06-14,1,6,6
2020-06-21,3,6,2
2020-06-28,2,7,4
2020-07-05,1,7,3
2020-07-12,2,5,6
2020-07-19,1,6,4
2020-07-26,1,4,4
2020-08-02,2,6,7
2020-08-09,2,4,5
2020-08-16,2,8,3
2020-08-23,1,9,6
2020-08-30,3,5,5
2020-09-06,5,8,5
2020-09-13,4,6,7
2020-09-20,2,6,4
2020-09-27,5,6,5
2020-10-04,3,6,4
2020-10-11,6,4,4
2020-10-18,4,7,5
2020-10-25,7,5,8
2020-11-01,3,5,6
2020-11-08,4,5,9
2020-11-15,2,6,6
2020-11-22,4,5,10
2020-11-29,2,7,10
2020-12-06,4,8,10
2020-12-13,2,9,8
2020-12-20,3,10,21
2020-12-27,3,10,38
2021-01-03,4,9,24
2021-01-10,6,7,23
2021-01-17,2,6,23
2021-01-24,2,7,18
2021-01-31,3,9,19
2021-02-07,2,6,11
2021-02-14,2,8,13
2021-02-21,2,9,10
2021-02-28,4,10,15
2021-03-07,5,8,14
2021-03-14,1,3,11
2021-03-21,1,5,12
2021-03-28,2,7,9
2021-04-04,2,6,7
2021-04-11,2,5,7
