Week,Keto diet: (Canada)
2016-04-17,3
2016-04-24,5
2016-05-01,3
2016-05-08,2
2016-05-15,3
2016-05-22,2
2016-05-29,6
2016-06-05,4
2016-06-12,4
2016-06-19,5
2016-06-26,3
2016-07-03,6
2016-07-10,6
2016-07-17,5
2016-07-24,5
2016-07-31,5
2016-08-07,5
2016-08-14,6
2016-08-21,4
2016-08-28,5
2016-09-04,3
2016-09-11,6
2016-09-18,4
2016-09-25,5
2016-10-02,6
2016-10-09,5
2016-10-16,4
2016-10-23,6
2016-10-30,4
2016-11-06,8
2016-11-13,5
2016-11-20,5
2016-11-27,5
2016-12-04,5
2016-12-11,4
2016-12-18,3
2016-12-25,5
2017-01-01,11
2017-01-08,11
2017-01-15,10
2017-01-22,10
2017-01-29,6
2017-02-05,12
2017-02-12,12
2017-02-19,9
2017-02-26,10
2017-03-05,12
2017-03-12,14
2017-03-19,13
2017-03-26,11
2017-04-02,12
2017-04-09,12
2017-04-16,14
2017-04-23,14
2017-04-30,12
2017-05-07,15
2017-05-14,10
2017-05-21,18
2017-05-28,15
2017-06-04,18
2017-06-11,17
2017-06-18,19
2017-06-25,17
2017-07-02,15
2017-07-09,18
2017-07-16,17
2017-07-23,18
2017-07-30,16
2017-08-06,19
2017-08-13,19
2017-08-20,17
2017-08-27,26
2017-09-03,19
2017-09-10,23
2017-09-17,18
2017-09-24,20
2017-10-01,19
2017-10-08,17
2017-10-15,26
2017-10-22,27
2017-10-29,20
2017-11-05,19
2017-11-12,23
2017-11-19,15
2017-11-26,19
2017-12-03,22
2017-12-10,19
2017-12-17,20
2017-12-24,28
2017-12-31,43
2018-01-07,49
2018-01-14,43
2018-01-21,42
2018-01-28,41
2018-02-04,38
2018-02-11,40
2018-02-18,36
2018-02-25,40
2018-03-04,45
2018-03-11,41
2018-03-18,41
2018-03-25,44
2018-04-01,46
2018-04-08,48
2018-04-15,46
2018-04-22,46
2018-04-29,72
2018-05-06,66
2018-05-13,61
2018-05-20,66
2018-05-27,60
2018-06-03,54
2018-06-10,55
2018-06-17,60
2018-06-24,51
2018-07-01,50
2018-07-08,57
2018-07-15,61
2018-07-22,62
2018-07-29,60
2018-08-05,57
2018-08-12,56
2018-08-19,54
2018-08-26,50
2018-09-02,59
2018-09-09,46
2018-09-16,43
2018-09-23,39
2018-09-30,41
2018-10-07,49
2018-10-14,45
2018-10-21,49
2018-10-28,51
2018-11-04,60
2018-11-11,42
2018-11-18,37
2018-11-25,47
2018-12-02,38
2018-12-09,39
2018-12-16,34
2018-12-23,50
2018-12-30,100
2019-01-06,100
2019-01-13,93
2019-01-20,89
2019-01-27,64
2019-02-03,63
2019-02-10,55
2019-02-17,58
2019-02-24,58
2019-03-03,63
2019-03-10,54
2019-03-17,50
2019-03-24,51
2019-03-31,53
2019-04-07,44
2019-04-14,41
2019-04-21,46
2019-04-28,53
2019-05-05,46
2019-05-12,39
2019-05-19,47
2019-05-26,43
2019-06-02,38
2019-06-09,42
2019-06-16,39
2019-06-23,39
2019-06-30,41
2019-07-07,46
2019-07-14,46
2019-07-21,38
2019-07-28,46
2019-08-04,37
2019-08-11,42
2019-08-18,37
2019-08-25,39
2019-09-01,37
2019-09-08,37
2019-09-15,36
2019-09-22,31
2019-09-29,32
2019-10-06,30
2019-10-13,28
2019-10-20,26
2019-10-27,28
2019-11-03,27
2019-11-10,29
2019-11-17,32
2019-11-24,28
2019-12-01,22
2019-12-08,26
2019-12-15,17
2019-12-22,26
2019-12-29,47
2020-01-05,49
2020-01-12,35
2020-01-19,39
2020-01-26,32
2020-02-02,28
2020-02-09,27
2020-02-16,36
2020-02-23,29
2020-03-01,26
2020-03-08,22
2020-03-15,11
2020-03-22,13
2020-03-29,15
2020-04-05,13
2020-04-12,19
2020-04-19,21
2020-04-26,21
2020-05-03,28
2020-05-10,25
2020-05-17,26
2020-05-24,25
2020-05-31,23
2020-06-07,28
2020-06-14,20
2020-06-21,21
2020-06-28,23
2020-07-05,29
2020-07-12,27
2020-07-19,25
2020-07-26,21
2020-08-02,22
2020-08-09,21
2020-08-16,19
2020-08-23,19
2020-08-30,21
2020-09-06,19
2020-09-13,20
2020-09-20,22
2020-09-27,18
2020-10-04,18
2020-10-11,14
2020-10-18,14
2020-10-25,17
2020-11-01,11
2020-11-08,17
2020-11-15,13
2020-11-22,9
2020-11-29,13
2020-12-06,13
2020-12-13,10
2020-12-20,12
2020-12-27,20
2021-01-03,31
2021-01-10,21
2021-01-17,23
2021-01-24,25
2021-01-31,28
2021-02-07,20
2021-02-14,20
2021-02-21,14
2021-02-28,19
2021-03-07,18
2021-03-14,13
2021-03-21,21
2021-03-28,14
2021-04-04,17
