Week,Fatty liver diet: (Canada)
2016-04-17,13
2016-04-24,38
2016-05-01,0
2016-05-08,0
2016-05-15,0
2016-05-22,0
2016-05-29,13
2016-06-05,52
2016-06-12,0
2016-06-19,0
2016-06-26,14
2016-07-03,14
2016-07-10,14
2016-07-17,28
2016-07-24,43
2016-07-31,15
2016-08-07,0
2016-08-14,15
2016-08-21,0
2016-08-28,14
2016-09-04,14
2016-09-11,27
2016-09-18,53
2016-09-25,0
2016-10-02,13
2016-10-09,26
2016-10-16,13
2016-10-23,0
2016-10-30,0
2016-11-06,12
2016-11-13,38
2016-11-20,12
2016-11-27,12
2016-12-04,0
2016-12-11,12
2016-12-18,0
2016-12-25,0
2017-01-01,25
2017-01-08,0
2017-01-15,35
2017-01-22,36
2017-01-29,24
2017-02-05,12
2017-02-12,36
2017-02-19,36
2017-02-26,22
2017-03-05,23
2017-03-12,11
2017-03-19,12
2017-03-26,12
2017-04-02,47
2017-04-09,24
2017-04-16,23
2017-04-23,23
2017-04-30,23
2017-05-07,12
2017-05-14,13
2017-05-21,13
2017-05-28,13
2017-06-04,13
2017-06-11,0
2017-06-18,0
2017-06-25,0
2017-07-02,41
2017-07-09,39
2017-07-16,52
2017-07-23,26
2017-07-30,0
2017-08-06,13
2017-08-13,38
2017-08-20,51
2017-08-27,38
2017-09-03,61
2017-09-10,48
2017-09-17,24
2017-09-24,24
2017-10-01,0
2017-10-08,0
2017-10-15,12
2017-10-22,12
2017-10-29,12
2017-11-05,34
2017-11-12,23
2017-11-19,0
2017-11-26,11
2017-12-03,34
2017-12-10,0
2017-12-17,12
2017-12-24,0
2017-12-31,12
2018-01-07,11
2018-01-14,11
2018-01-21,22
2018-01-28,22
2018-02-04,11
2018-02-11,0
2018-02-18,100
2018-02-25,22
2018-03-04,45
2018-03-11,22
2018-03-18,34
2018-03-25,34
2018-04-01,22
2018-04-08,11
2018-04-15,21
2018-04-22,22
2018-04-29,0
2018-05-06,34
2018-05-13,12
2018-05-20,24
2018-05-27,23
2018-06-03,0
2018-06-10,56
2018-06-17,34
2018-06-24,23
2018-07-01,12
2018-07-08,57
2018-07-15,48
2018-07-22,35
2018-07-29,47
2018-08-05,0
2018-08-12,12
2018-08-19,0
2018-08-26,12
2018-09-02,46
2018-09-09,0
2018-09-16,11
2018-09-23,33
2018-09-30,11
2018-10-07,35
2018-10-14,0
2018-10-21,0
2018-10-28,23
2018-11-04,11
2018-11-11,34
2018-11-18,0
2018-11-25,33
2018-12-02,23
2018-12-09,23
2018-12-16,24
2018-12-23,26
2018-12-30,12
2019-01-06,56
2019-01-13,33
2019-01-20,0
2019-01-27,33
2019-02-03,11
2019-02-10,0
2019-02-17,0
2019-02-24,11
2019-03-03,22
2019-03-10,34
2019-03-17,23
2019-03-24,34
2019-03-31,22
2019-04-07,64
2019-04-14,33
2019-04-21,11
2019-04-28,22
2019-05-05,11
2019-05-12,0
2019-05-19,23
2019-05-26,22
2019-06-02,21
2019-06-09,0
2019-06-16,22
2019-06-23,69
2019-06-30,23
2019-07-07,11
2019-07-14,11
2019-07-21,0
2019-07-28,0
2019-08-04,12
2019-08-11,22
2019-08-18,23
2019-08-25,44
2019-09-01,53
2019-09-08,10
2019-09-15,31
2019-09-22,41
2019-09-29,31
2019-10-06,21
2019-10-13,63
2019-10-20,20
2019-10-27,51
2019-11-03,40
2019-11-10,20
2019-11-17,10
2019-11-24,0
2019-12-01,10
2019-12-08,10
2019-12-15,0
2019-12-22,34
2019-12-29,43
2020-01-05,40
2020-01-12,0
2020-01-19,30
2020-01-26,10
2020-02-02,50
2020-02-09,19
2020-02-16,40
2020-02-23,19
2020-03-01,37
2020-03-08,27
2020-03-15,18
2020-03-22,34
2020-03-29,33
2020-04-05,8
2020-04-12,0
2020-04-19,41
2020-04-26,17
2020-05-03,25
2020-05-10,25
2020-05-17,18
2020-05-24,17
2020-05-31,17
2020-06-07,43
2020-06-14,18
2020-06-21,18
2020-06-28,0
2020-07-05,47
2020-07-12,68
2020-07-19,20
2020-07-26,50
2020-08-02,0
2020-08-09,20
2020-08-16,29
2020-08-23,39
2020-08-30,38
2020-09-06,20
2020-09-13,19
2020-09-20,9
2020-09-27,39
2020-10-04,29
2020-10-11,21
2020-10-18,31
2020-10-25,10
2020-11-01,0
2020-11-08,30
2020-11-15,40
2020-11-22,20
2020-11-29,40
2020-12-06,20
2020-12-13,10
2020-12-20,22
2020-12-27,64
2021-01-03,19
2021-01-10,49
2021-01-17,39
2021-01-24,29
2021-01-31,10
2021-02-07,29
2021-02-14,31
2021-02-21,20
2021-02-28,20
2021-03-07,60
2021-03-14,29
2021-03-21,61
2021-03-28,41
2021-04-04,23
