Week,DASH diet: (Canada)
2016-04-17,28
2016-04-24,23
2016-05-01,12
2016-05-08,12
2016-05-15,12
2016-05-22,12
2016-05-29,12
2016-06-05,18
2016-06-12,23
2016-06-19,36
2016-06-26,19
2016-07-03,0
2016-07-10,19
2016-07-17,6
2016-07-24,13
2016-07-31,13
2016-08-07,13
2016-08-14,7
2016-08-21,19
2016-08-28,13
2016-09-04,13
2016-09-11,30
2016-09-18,6
2016-09-25,24
2016-10-02,12
2016-10-09,18
2016-10-16,23
2016-10-23,18
2016-10-30,29
2016-11-06,0
2016-11-13,6
2016-11-20,11
2016-11-27,28
2016-12-04,6
2016-12-11,23
2016-12-18,6
2016-12-25,25
2017-01-01,87
2017-01-08,11
2017-01-15,54
2017-01-22,32
2017-01-29,11
2017-02-05,16
2017-02-12,59
2017-02-19,11
2017-02-26,15
2017-03-05,21
2017-03-12,21
2017-03-19,16
2017-03-26,16
2017-04-02,16
2017-04-09,16
2017-04-16,26
2017-04-23,5
2017-04-30,27
2017-05-07,16
2017-05-14,29
2017-05-21,40
2017-05-28,12
2017-06-04,6
2017-06-11,17
2017-06-18,17
2017-06-25,12
2017-07-02,0
2017-07-09,6
2017-07-16,0
2017-07-23,24
2017-07-30,11
2017-08-06,12
2017-08-13,23
2017-08-20,6
2017-08-27,29
2017-09-03,11
2017-09-10,16
2017-09-17,5
2017-09-24,27
2017-10-01,32
2017-10-08,22
2017-10-15,31
2017-10-22,11
2017-10-29,42
2017-11-05,0
2017-11-12,36
2017-11-19,15
2017-11-26,5
2017-12-03,21
2017-12-10,26
2017-12-17,11
2017-12-24,6
2017-12-31,100
2018-01-07,30
2018-01-14,35
2018-01-21,65
2018-01-28,20
2018-02-04,20
2018-02-11,30
2018-02-18,40
2018-02-25,76
2018-03-04,76
2018-03-11,46
2018-03-18,10
2018-03-25,31
2018-04-01,20
2018-04-08,5
2018-04-15,15
2018-04-22,20
2018-04-29,15
2018-05-06,21
2018-05-13,16
2018-05-20,21
2018-05-27,15
2018-06-03,5
2018-06-10,35
2018-06-17,21
2018-06-24,5
2018-07-01,21
2018-07-08,0
2018-07-15,22
2018-07-22,21
2018-07-29,27
2018-08-05,11
2018-08-12,27
2018-08-19,16
2018-08-26,27
2018-09-02,16
2018-09-09,30
2018-09-16,10
2018-09-23,0
2018-09-30,15
2018-10-07,16
2018-10-14,31
2018-10-21,31
2018-10-28,31
2018-11-04,20
2018-11-11,26
2018-11-18,15
2018-11-25,25
2018-12-02,26
2018-12-09,16
2018-12-16,22
2018-12-23,42
2018-12-30,89
2019-01-06,40
2019-01-13,35
2019-01-20,10
2019-01-27,35
2019-02-03,24
2019-02-10,24
2019-02-17,20
2019-02-24,14
2019-03-03,35
2019-03-10,20
2019-03-17,26
2019-03-24,20
2019-03-31,35
2019-04-07,34
2019-04-14,25
2019-04-21,20
2019-04-28,40
2019-05-05,15
2019-05-12,15
2019-05-19,26
2019-05-26,10
2019-06-02,14
2019-06-09,19
2019-06-16,25
2019-06-23,0
2019-06-30,21
2019-07-07,5
2019-07-14,5
2019-07-21,27
2019-07-28,27
2019-08-04,5
2019-08-11,15
2019-08-18,26
2019-08-25,5
2019-09-01,15
2019-09-08,14
2019-09-15,23
2019-09-22,19
2019-09-29,18
2019-10-06,19
2019-10-13,10
2019-10-20,27
2019-10-27,14
2019-11-03,14
2019-11-10,27
2019-11-17,18
2019-11-24,9
2019-12-01,5
2019-12-08,14
2019-12-15,19
2019-12-22,26
2019-12-29,34
2020-01-05,76
2020-01-12,35
2020-01-19,37
2020-01-26,23
2020-02-02,23
2020-02-09,40
2020-02-16,18
2020-02-23,26
2020-03-01,21
2020-03-08,37
2020-03-15,12
2020-03-22,0
2020-03-29,15
2020-04-05,11
2020-04-12,4
2020-04-19,15
2020-04-26,19
2020-05-03,15
2020-05-10,15
2020-05-17,12
2020-05-24,24
2020-05-31,19
2020-06-07,28
2020-06-14,21
2020-06-21,8
2020-06-28,31
2020-07-05,21
2020-07-12,18
2020-07-19,9
2020-07-26,9
2020-08-02,4
2020-08-09,13
2020-08-16,4
2020-08-23,9
2020-08-30,9
2020-09-06,22
2020-09-13,17
2020-09-20,26
2020-09-27,22
2020-10-04,9
2020-10-11,10
2020-10-18,24
2020-10-25,24
2020-11-01,34
2020-11-08,5
2020-11-15,18
2020-11-22,4
2020-11-29,9
2020-12-06,5
2020-12-13,5
2020-12-20,5
2020-12-27,19
2021-01-03,22
2021-01-10,27
2021-01-17,22
2021-01-24,27
2021-01-31,27
2021-02-07,13
2021-02-14,23
2021-02-21,32
2021-02-28,9
2021-03-07,18
2021-03-14,22
2021-03-21,14
2021-03-28,23
2021-04-04,10
