Week,Butternut squash recipes: (Canada)
2016-04-03,7
2016-04-10,14
2016-04-17,7
2016-04-24,22
2016-05-01,7
2016-05-08,11
2016-05-15,19
2016-05-22,16
2016-05-29,26
2016-06-05,0
2016-06-12,15
2016-06-19,12
2016-06-26,12
2016-07-03,24
2016-07-10,16
2016-07-17,4
2016-07-24,25
2016-07-31,4
2016-08-07,0
2016-08-14,9
2016-08-21,12
2016-08-28,4
2016-09-04,16
2016-09-11,11
2016-09-18,26
2016-09-25,45
2016-10-02,100
2016-10-09,81
2016-10-16,37
2016-10-23,44
2016-10-30,41
2016-11-06,28
2016-11-13,44
2016-11-20,21
2016-11-27,25
2016-12-04,28
2016-12-11,22
2016-12-18,27
2016-12-25,20
2017-01-01,22
2017-01-08,28
2017-01-15,7
2017-01-22,10
2017-01-29,3
2017-02-05,27
2017-02-12,7
2017-02-19,3
2017-02-26,10
2017-03-05,20
2017-03-12,7
2017-03-19,23
2017-03-26,3
2017-04-02,10
2017-04-09,10
2017-04-16,13
2017-04-23,3
2017-04-30,14
2017-05-07,14
2017-05-14,4
2017-05-21,7
2017-05-28,7
2017-06-04,4
2017-06-11,4
2017-06-18,7
2017-06-25,15
2017-07-02,4
2017-07-09,19
2017-07-16,15
2017-07-23,0
2017-07-30,11
2017-08-06,7
2017-08-13,4
2017-08-20,0
2017-08-27,7
2017-09-03,18
2017-09-10,28
2017-09-17,28
2017-09-24,38
2017-10-01,54
2017-10-08,35
2017-10-15,26
2017-10-22,47
2017-10-29,40
2017-11-05,39
2017-11-12,26
2017-11-19,26
2017-11-26,10
2017-12-03,16
2017-12-10,0
2017-12-17,21
2017-12-24,19
2017-12-31,23
2018-01-07,10
2018-01-14,10
2018-01-21,22
2018-01-28,10
2018-02-04,13
2018-02-11,10
2018-02-18,16
2018-02-25,6
2018-03-04,29
2018-03-11,19
2018-03-18,10
2018-03-25,10
2018-04-01,16
2018-04-08,22
2018-04-15,9
2018-04-22,16
2018-04-29,26
2018-05-06,10
2018-05-13,0
2018-05-20,7
2018-05-27,10
2018-06-03,33
2018-06-10,16
2018-06-17,7
2018-06-24,0
2018-07-01,0
2018-07-08,16
2018-07-15,3
2018-07-22,10
2018-07-29,0
2018-08-05,0
2018-08-12,14
2018-08-19,17
2018-08-26,17
2018-09-02,13
2018-09-09,35
2018-09-16,38
2018-09-23,58
2018-09-30,75
2018-10-07,80
2018-10-14,42
2018-10-21,53
2018-10-28,33
2018-11-04,25
2018-11-11,29
2018-11-18,13
2018-11-25,25
2018-12-02,16
2018-12-09,14
2018-12-16,27
2018-12-23,30
2018-12-30,11
2019-01-06,10
2019-01-13,16
2019-01-20,16
2019-01-27,10
2019-02-03,12
2019-02-10,9
2019-02-17,6
2019-02-24,9
2019-03-03,10
2019-03-10,16
2019-03-17,13
2019-03-24,6
2019-03-31,3
2019-04-07,6
2019-04-14,13
2019-04-21,3
2019-04-28,6
2019-05-05,6
2019-05-12,0
2019-05-19,3
2019-05-26,3
2019-06-02,6
2019-06-09,6
2019-06-16,3
2019-06-23,7
2019-06-30,0
2019-07-07,10
2019-07-14,3
2019-07-21,7
2019-07-28,10
2019-08-04,3
2019-08-11,0
2019-08-18,10
2019-08-25,13
2019-09-01,9
2019-09-08,18
2019-09-15,15
2019-09-22,12
2019-09-29,32
2019-10-06,84
2019-10-13,67
2019-10-20,20
2019-10-27,32
2019-11-03,37
2019-11-10,38
2019-11-17,32
2019-11-24,17
2019-12-01,20
2019-12-08,21
2019-12-15,6
2019-12-22,26
2019-12-29,25
2020-01-05,26
2020-01-12,5
2020-01-19,18
2020-01-26,11
2020-02-02,20
2020-02-09,11
2020-02-16,9
2020-02-23,24
2020-03-01,16
2020-03-08,8
2020-03-15,13
2020-03-22,20
2020-03-29,17
2020-04-05,21
2020-04-12,22
2020-04-19,36
2020-04-26,27
2020-05-03,22
2020-05-10,25
2020-05-17,13
2020-05-24,15
2020-05-31,7
2020-06-07,7
2020-06-14,10
2020-06-21,8
2020-06-28,3
2020-07-05,5
2020-07-12,0
2020-07-19,17
2020-07-26,6
2020-08-02,25
2020-08-09,6
2020-08-16,11
2020-08-23,11
2020-08-30,17
2020-09-06,25
2020-09-13,38
2020-09-20,38
2020-09-27,20
2020-10-04,79
2020-10-11,40
2020-10-18,60
2020-10-25,87
2020-11-01,38
2020-11-08,32
2020-11-15,37
2020-11-22,22
2020-11-29,31
2020-12-06,20
2020-12-13,18
2020-12-20,25
2020-12-27,21
2021-01-03,25
2021-01-10,9
2021-01-17,17
2021-01-24,8
2021-01-31,17
2021-02-07,11
2021-02-14,23
2021-02-21,26
2021-02-28,9
2021-03-07,6
2021-03-14,14
2021-03-21,21
