Week,Coleslaw recipes: (Canada)
2016-04-03,67
2016-04-10,69
2016-04-17,12
2016-04-24,0
2016-05-01,12
2016-05-08,12
2016-05-15,0
2016-05-22,38
2016-05-29,24
2016-06-05,0
2016-06-12,12
2016-06-19,25
2016-06-26,25
2016-07-03,13
2016-07-10,0
2016-07-17,0
2016-07-24,13
2016-07-31,13
2016-08-07,39
2016-08-14,0
2016-08-21,27
2016-08-28,13
2016-09-04,0
2016-09-11,0
2016-09-18,12
2016-09-25,0
2016-10-02,36
2016-10-09,0
2016-10-16,12
2016-10-23,36
2016-10-30,12
2016-11-06,23
2016-11-13,23
2016-11-20,0
2016-11-27,0
2016-12-04,0
2016-12-11,0
2016-12-18,0
2016-12-25,13
2017-01-01,12
2017-01-08,22
2017-01-15,22
2017-01-22,0
2017-01-29,0
2017-02-05,22
2017-02-12,22
2017-02-19,22
2017-02-26,10
2017-03-05,52
2017-03-12,0
2017-03-19,0
2017-03-26,21
2017-04-02,11
2017-04-09,11
2017-04-16,0
2017-04-23,11
2017-04-30,22
2017-05-07,0
2017-05-14,0
2017-05-21,12
2017-05-28,0
2017-06-04,12
2017-06-11,0
2017-06-18,45
2017-06-25,12
2017-07-02,26
2017-07-09,0
2017-07-16,0
2017-07-23,24
2017-07-30,35
2017-08-06,47
2017-08-13,35
2017-08-20,12
2017-08-27,0
2017-09-03,56
2017-09-10,0
2017-09-17,11
2017-09-24,22
2017-10-01,22
2017-10-08,22
2017-10-15,0
2017-10-22,11
2017-10-29,0
2017-11-05,10
2017-11-12,21
2017-11-19,10
2017-11-26,10
2017-12-03,0
2017-12-10,11
2017-12-17,11
2017-12-24,36
2017-12-31,32
2018-01-07,20
2018-01-14,20
2018-01-21,10
2018-01-28,0
2018-02-04,0
2018-02-11,10
2018-02-18,10
2018-02-25,10
2018-03-04,10
2018-03-11,0
2018-03-18,10
2018-03-25,0
2018-04-01,10
2018-04-08,40
2018-04-15,20
2018-04-22,20
2018-04-29,21
2018-05-06,11
2018-05-13,32
2018-05-20,11
2018-05-27,0
2018-06-03,0
2018-06-10,0
2018-06-17,21
2018-06-24,32
2018-07-01,33
2018-07-08,10
2018-07-15,22
2018-07-22,0
2018-07-29,11
2018-08-05,22
2018-08-12,33
2018-08-19,11
2018-08-26,0
2018-09-02,11
2018-09-09,0
2018-09-16,20
2018-09-23,10
2018-09-30,94
2018-10-07,11
2018-10-14,10
2018-10-21,21
2018-10-28,43
2018-11-04,20
2018-11-11,10
2018-11-18,10
2018-11-25,20
2018-12-02,31
2018-12-09,33
2018-12-16,0
2018-12-23,36
2018-12-30,34
2019-01-06,0
2019-01-13,10
2019-01-20,50
2019-01-27,10
2019-02-03,29
2019-02-10,20
2019-02-17,0
2019-02-24,10
2019-03-03,0
2019-03-10,0
2019-03-17,10
2019-03-24,10
2019-03-31,20
2019-04-07,20
2019-04-14,31
2019-04-21,20
2019-04-28,20
2019-05-05,21
2019-05-12,21
2019-05-19,10
2019-05-26,0
2019-06-02,48
2019-06-09,20
2019-06-16,20
2019-06-23,42
2019-06-30,42
2019-07-07,21
2019-07-14,74
2019-07-21,44
2019-07-28,43
2019-08-04,43
2019-08-11,10
2019-08-18,31
2019-08-25,10
2019-09-01,29
2019-09-08,19
2019-09-15,10
2019-09-22,0
2019-09-29,0
2019-10-06,19
2019-10-13,0
2019-10-20,18
2019-10-27,0
2019-11-03,0
2019-11-10,19
2019-11-17,9
2019-11-24,9
2019-12-01,55
2019-12-08,10
2019-12-15,20
2019-12-22,53
2019-12-29,0
2020-01-05,9
2020-01-12,35
2020-01-19,28
2020-01-26,18
2020-02-02,18
2020-02-09,27
2020-02-16,9
2020-02-23,35
2020-03-01,0
2020-03-08,25
2020-03-15,25
2020-03-22,16
2020-03-29,54
2020-04-05,46
2020-04-12,70
2020-04-19,15
2020-04-26,0
2020-05-03,39
2020-05-10,16
2020-05-17,33
2020-05-24,48
2020-05-31,15
2020-06-07,0
2020-06-14,25
2020-06-21,17
2020-06-28,27
2020-07-05,9
2020-07-12,18
2020-07-19,0
2020-07-26,28
2020-08-02,27
2020-08-09,27
2020-08-16,18
2020-08-23,18
2020-08-30,9
2020-09-06,0
2020-09-13,26
2020-09-20,9
2020-09-27,27
2020-10-04,36
2020-10-11,10
2020-10-18,0
2020-10-25,19
2020-11-01,17
2020-11-08,9
2020-11-15,18
2020-11-22,9
2020-11-29,18
2020-12-06,9
2020-12-13,9
2020-12-20,10
2020-12-27,10
2021-01-03,0
2021-01-10,27
2021-01-17,100
2021-01-24,36
2021-01-31,9
2021-02-07,36
2021-02-14,28
2021-02-21,56
2021-02-28,56
2021-03-07,37
2021-03-14,9
2021-03-21,9
