Week,Air fryer recipes: (Canada)
2016-04-03,0
2016-04-10,1
2016-04-17,0
2016-04-24,0
2016-05-01,1
2016-05-08,1
2016-05-15,0
2016-05-22,1
2016-05-29,0
2016-06-05,0
2016-06-12,0
2016-06-19,0
2016-06-26,2
2016-07-03,0
2016-07-10,0
2016-07-17,0
2016-07-24,0
2016-07-31,0
2016-08-07,0
2016-08-14,0
2016-08-21,0
2016-08-28,0
2016-09-04,2
2016-09-11,1
2016-09-18,0
2016-09-25,0
2016-10-02,0
2016-10-09,1
2016-10-16,0
2016-10-23,0
2016-10-30,0
2016-11-06,0
2016-11-13,1
2016-11-20,1
2016-11-27,0
2016-12-04,3
2016-12-11,3
2016-12-18,1
2016-12-25,2
2017-01-01,4
2017-01-08,1
2017-01-15,3
2017-01-22,1
2017-01-29,0
2017-02-05,0
2017-02-12,1
2017-02-19,1
2017-02-26,1
2017-03-05,1
2017-03-12,0
2017-03-19,1
2017-03-26,0
2017-04-02,0
2017-04-09,1
2017-04-16,1
2017-04-23,1
2017-04-30,0
2017-05-07,0
2017-05-14,1
2017-05-21,0
2017-05-28,0
2017-06-04,0
2017-06-11,1
2017-06-18,1
2017-06-25,1
2017-07-02,0
2017-07-09,0
2017-07-16,0
2017-07-23,3
2017-07-30,0
2017-08-06,0
2017-08-13,0
2017-08-20,1
2017-08-27,0
2017-09-03,0
2017-09-10,3
2017-09-17,0
2017-09-24,0
2017-10-01,1
2017-10-08,1
2017-10-15,3
2017-10-22,1
2017-10-29,1
2017-11-05,0
2017-11-12,1
2017-11-19,1
2017-11-26,2
2017-12-03,3
2017-12-10,3
2017-12-17,4
2017-12-24,7
2017-12-31,3
2018-01-07,1
2018-01-14,6
2018-01-21,4
2018-01-28,4
2018-02-04,1
2018-02-11,2
2018-02-18,2
2018-02-25,1
2018-03-04,2
2018-03-11,4
2018-03-18,5
2018-03-25,1
2018-04-01,0
2018-04-08,1
2018-04-15,2
2018-04-22,2
2018-04-29,1
2018-05-06,0
2018-05-13,1
2018-05-20,1
2018-05-27,0
2018-06-03,2
2018-06-10,2
2018-06-17,4
2018-06-24,3
2018-07-01,1
2018-07-08,0
2018-07-15,1
2018-07-22,0
2018-07-29,3
2018-08-05,1
2018-08-12,0
2018-08-19,3
2018-08-26,6
2018-09-02,1
2018-09-09,1
2018-09-16,4
2018-09-23,0
2018-09-30,1
2018-10-07,1
2018-10-14,0
2018-10-21,1
2018-10-28,1
2018-11-04,4
2018-11-11,2
2018-11-18,7
2018-11-25,2
2018-12-02,2
2018-12-09,5
2018-12-16,8
2018-12-23,19
2018-12-30,19
2019-01-06,6
2019-01-13,6
2019-01-20,8
2019-01-27,6
2019-02-03,3
2019-02-10,7
2019-02-17,2
2019-02-24,7
2019-03-03,4
2019-03-10,1
2019-03-17,2
2019-03-24,4
2019-03-31,4
2019-04-07,5
2019-04-14,1
2019-04-21,6
2019-04-28,4
2019-05-05,2
2019-05-12,5
2019-05-19,2
2019-05-26,1
2019-06-02,9
2019-06-09,1
2019-06-16,0
2019-06-23,4
2019-06-30,4
2019-07-07,5
2019-07-14,2
2019-07-21,3
2019-07-28,8
2019-08-04,5
2019-08-11,1
2019-08-18,4
2019-08-25,6
2019-09-01,1
2019-09-08,5
2019-09-15,3
2019-09-22,6
2019-09-29,12
2019-10-06,5
2019-10-13,14
2019-10-20,1
2019-10-27,2
2019-11-03,2
2019-11-10,8
2019-11-17,14
2019-11-24,13
2019-12-01,12
2019-12-08,14
2019-12-15,9
2019-12-22,20
2019-12-29,27
2020-01-05,18
2020-01-12,10
2020-01-19,16
2020-01-26,9
2020-02-02,12
2020-02-09,5
2020-02-16,13
2020-02-23,7
2020-03-01,12
2020-03-08,12
2020-03-15,9
2020-03-22,8
2020-03-29,12
2020-04-05,9
2020-04-12,13
2020-04-19,10
2020-04-26,12
2020-05-03,25
2020-05-10,12
2020-05-17,14
2020-05-24,14
2020-05-31,15
2020-06-07,8
2020-06-14,14
2020-06-21,15
2020-06-28,14
2020-07-05,20
2020-07-12,11
2020-07-19,13
2020-07-26,4
2020-08-02,15
2020-08-09,14
2020-08-16,15
2020-08-23,12
2020-08-30,13
2020-09-06,14
2020-09-13,21
2020-09-20,13
2020-09-27,21
2020-10-04,14
2020-10-11,12
2020-10-18,16
2020-10-25,18
2020-11-01,10
2020-11-08,28
2020-11-15,19
2020-11-22,32
2020-11-29,37
2020-12-06,33
2020-12-13,29
2020-12-20,65
2020-12-27,100
2021-01-03,60
2021-01-10,63
2021-01-17,63
2021-01-24,44
2021-01-31,55
2021-02-07,38
2021-02-14,42
2021-02-21,33
2021-02-28,34
2021-03-07,29
2021-03-14,32
2021-03-21,35
