Week,Naan: (Canada),Fries: (Canada),bubble tea: (Canada),edamame: (Canada)
2020-03-01,14,54,39,11
2020-03-08,13,53,33,10
2020-03-15,15,48,23,6
2020-03-22,23,56,29,6
2020-03-29,31,69,25,7
2020-04-05,34,72,28,7
2020-04-12,30,78,31,8
2020-04-19,23,84,42,8
2020-04-26,28,81,46,9
2020-05-03,26,79,39,8
2020-05-10,25,75,39,8
2020-05-17,23,73,47,8
2020-05-24,16,68,45,10
2020-05-31,16,61,40,11
2020-06-07,18,68,49,8
2020-06-14,14,62,57,7
2020-06-21,18,61,50,6
2020-06-28,19,63,44,5
2020-07-05,17,60,52,6
2020-07-12,13,73,57,6
2020-07-19,17,72,47,6
2020-07-26,14,63,58,7
2020-08-02,17,65,53,10
2020-08-09,18,72,55,10
2020-08-16,18,63,47,5
2020-08-23,17,55,60,10
2020-08-30,15,65,49,8
2020-09-06,17,65,58,7
2020-09-13,16,63,44,10
2020-09-20,16,63,41,8
2020-09-27,16,66,47,7
2020-10-04,13,59,38,5
2020-10-11,19,61,44,9
2020-10-18,23,57,42,6
2020-10-25,20,55,39,7
2020-11-01,18,50,38,6
2020-11-08,21,69,41,9
2020-11-15,15,63,39,8
2020-11-22,11,64,36,5
2020-11-29,19,64,32,9
2020-12-06,14,54,37,9
2020-12-13,20,60,28,7
2020-12-20,12,67,50,7
2020-12-27,18,88,52,8
