Week,how to apply for ei: (Canada),uber eats: (Canada),skip the dishes: (Canada),doordash: (Canada),uber: (Canada)
2016-04-24,1.0,1,5,1.0,59
2016-05-01,0.0,1,4,1.0,64
2016-05-08,1.0,3,4,0.0,51
2016-05-15,0.0,2,5,0.0,46
2016-05-22,1.0,2,7,0.0,46
2016-05-29,0.0,2,5,0.0,44
2016-06-05,0.0,2,4,0.0,46
2016-06-12,0.0,2,5,0.0,41
2016-06-19,1.0,3,5,1.0,41
2016-06-26,1.0,1,5,0.0,43
2016-07-03,1.0,2,5,0.0,44
2016-07-10,1.0,2,5,0.0,45
2016-07-17,0.0,3,5,1.0,42
2016-07-24,1.0,2,5,1.0,45
2016-07-31,1.0,3,5,1.0,45
2016-08-07,1.0,2,5,1.0,39
2016-08-14,0.0,3,7,0.0,46
2016-08-21,0.0,2,5,1.0,45
2016-08-28,0.0,1,6,0.0,43
2016-09-04,0.0,2,6,1.0,55
2016-09-11,0.0,2,6,1.0,43
2016-09-18,1.0,3,6,1.0,44
2016-09-25,0.0,2,6,1.0,47
2016-10-02,0.0,2,6,0.0,43
2016-10-09,0.0,3,6,1.0,40
2016-10-16,0.0,3,8,1.0,47
2016-10-23,0.0,5,5,0.0,44
2016-10-30,1.0,4,6,0.0,50
2016-11-06,0.0,3,5,1.0,36
2016-11-13,1.0,2,5,1.0,39
2016-11-20,1.0,2,8,1.0,37
2016-11-27,0.0,3,7,1.0,48
2016-12-04,0.0,2,9,2.0,46
2016-12-11,0.0,4,10,1.0,54
2016-12-18,1.0,2,10,1.0,54
2016-12-25,0.0,2,8,1.0,50
2017-01-01,0.0,3,11,1.0,46
2017-01-08,1.0,3,9,0.0,43
2017-01-15,0.0,2,8,1.0,41
2017-01-22,0.0,3,9,1.0,47
2017-01-29,1.0,2,12,1.0,66
2017-02-05,0.0,4,13,1.0,45
2017-02-12,1.0,2,12,1.0,44
2017-02-19,0.0,3,8,1.0,47
2017-02-26,1.0,3,10,1.0,52
2017-03-05,0.0,3,11,1.0,52
2017-03-12,1.0,3,13,1.0,51
2017-03-19,0.0,3,13,1.0,48
2017-03-26,0.0,2,12,1.0,44
2017-04-02,1.0,2,14,1.0,42
2017-04-09,0.0,3,13,2.0,40
2017-04-16,1.0,4,14,1.0,44
2017-04-23,0.0,2,18,1.0,43
2017-04-30,1.0,3,15,1.0,43
2017-05-07,1.0,4,12,1.0,47
2017-05-14,0.0,2,13,1.0,41
2017-05-21,1.0,4,15,1.0,43
2017-05-28,0.0,3,14,2.0,48
2017-06-04,0.0,3,17,1.0,43
2017-06-11,0.0,3,16,0.0,49
2017-06-18,1.0,3,18,2.0,47
2017-06-25,0.0,4,18,2.0,52
2017-07-02,0.0,5,18,1.0,51
2017-07-09,1.0,6,18,1.0,57
2017-07-16,1.0,6,21,1.0,49
2017-07-23,1.0,6,21,2.0,44
2017-07-30,1.0,5,22,1.0,49
2017-08-06,0.0,5,23,0.0,54
2017-08-13,0.0,5,23,3.0,47
2017-08-20,1.0,4,23,2.0,56
2017-08-27,0.0,2,21,1.0,50
2017-09-03,1.0,5,24,1.0,46
2017-09-10,0.0,7,23,1.0,49
2017-09-17,0.0,4,22,1.0,47
2017-09-24,1.0,5,24,1.0,61
2017-10-01,0.0,5,27,2.0,46
2017-10-08,0.0,5,28,2.0,50
2017-10-15,1.0,5,31,2.0,47
2017-10-22,1.0,6,26,2.0,52
2017-10-29,0.0,5,27,1.0,46
2017-11-05,0.0,5,31,2.0,47
2017-11-12,1.0,5,30,3.0,51
2017-11-19,1.0,6,27,2.0,52
2017-11-26,1.0,5,28,3.0,43
2017-12-03,0.0,6,23,2.0,46
2017-12-10,1.0,6,32,2.0,56
2017-12-17,0.0,6,32,2.0,48
2017-12-24,1.0,6,32,1.0,48
2017-12-31,1.0,6,35,2.0,57
2018-01-07,1.0,8,35,2.0,53
2018-01-14,1.0,5,34,2.0,50
2018-01-21,0.0,7,32,2.0,42
2018-01-28,1.0,9,38,2.0,51
2018-02-04,0.0,8,33,2.0,52
2018-02-11,0.0,7,34,2.0,47
2018-02-18,0.0,7,37,2.0,44
2018-02-25,1.0,10,38,3.0,53
2018-03-04,0.0,7,39,2.0,48
2018-03-11,0.0,9,36,2.0,45
2018-03-18,0.0,7,36,4.0,64
2018-03-25,1.0,7,41,4.0,49
2018-04-01,1.0,11,41,4.0,49
2018-04-08,1.0,8,40,2.0,44
2018-04-15,1.0,10,48,3.0,45
2018-04-22,0.0,10,36,3.0,49
2018-04-29,0.0,11,34,3.0,52
2018-05-06,1.0,8,35,3.0,46
2018-05-13,1.0,7,35,3.0,45
2018-05-20,0.0,10,36,2.0,52
2018-05-27,1.0,10,40,2.0,52
2018-06-03,1.0,10,36,3.0,47
2018-06-10,0.0,8,37,3.0,54
2018-06-17,1.0,12,38,4.0,54
2018-06-24,0.0,11,44,4.0,54
2018-07-01,1.0,13,42,3.0,54
2018-07-08,1.0,11,39,4.0,56
